date,fındık fiyatı
2025-05-16,30
2025-05-17,17
2025-05-18,21
2025-05-19,33
2025-05-20,23
2025-05-21,29
2025-05-22,18
2025-05-23,13
2025-05-24,0
2025-05-25,15
2025-05-26,25
2025-05-27,25
2025-05-28,0
2025-05-29,15
2025-05-30,16
2025-05-31,12
2025-06-01,17
2025-06-02,15
2025-06-03,15
2025-06-04,14
2025-06-05,15
2025-06-06,19
2025-06-07,0
2025-06-08,0
2025-06-09,20
2025-06-10,14
2025-06-11,18
2025-06-12,18
2025-06-13,23
2025-06-14,17
2025-06-15,0
2025-06-16,21
2025-06-17,25
2025-06-18,22
2025-06-19,17
2025-06-20,0
2025-06-21,17
2025-06-22,15
2025-06-23,16
2025-06-24,14
2025-06-25,0
2025-06-26,17
2025-06-27,0
2025-06-28,0
2025-06-29,20
2025-06-30,17
2025-07-01,0
2025-07-02,19
2025-07-03,0
2025-07-04,19
2025-07-05,0
2025-07-06,18
2025-07-07,14
2025-07-08,26
2025-07-09,17
2025-07-10,13
2025-07-11,14
2025-07-12,0
2025-07-13,15
2025-07-14,12
2025-07-15,0
2025-07-16,0
2025-07-17,20
2025-07-18,23
2025-07-19,17
2025-07-20,17
2025-07-21,19
2025-07-22,19
2025-07-23,0
2025-07-24,36
2025-07-25,32
2025-07-26,18
2025-07-27,17
2025-07-28,22
2025-07-29,0
2025-07-30,20
2025-07-31,27
2025-08-01,30
2025-08-02,32
2025-08-03,50
2025-08-04,36
2025-08-05,100
2025-08-06,53
2025-08-07,24
2025-08-08,34
2025-08-09,40
2025-08-10,35
2025-08-11,29
2025-08-12,26
2025-08-13,28
2025-08-14,32
