date,fındık fiyatı
2022-12-18,71
2022-12-19,98
2022-12-20,89
2022-12-21,91
2022-12-22,63
2022-12-23,66
2022-12-24,67
2022-12-25,71
2022-12-26,87
2022-12-27,100
2022-12-28,64
2022-12-29,65
2022-12-30,65
2022-12-31,55
2023-01-01,61
2023-01-02,81
2023-01-03,62
2023-01-04,80
2023-01-05,90
2023-01-06,64
2023-01-07,64
2023-01-08,59
2023-01-09,85
2023-01-10,59
2023-01-11,55
2023-01-12,68
2023-01-13,62
2023-01-14,70
2023-01-15,58
2023-01-16,44
2023-01-17,63
2023-01-18,59
2023-01-19,57
2023-01-20,51
2023-01-21,55
2023-01-22,26
2023-01-23,67
2023-01-24,70
2023-01-25,71
2023-01-26,54
2023-01-27,70
2023-01-28,68
2023-01-29,42
2023-01-30,68
2023-01-31,50
2023-02-01,85
2023-02-02,87
2023-02-03,61
2023-02-04,56
2023-02-05,40
2023-02-06,43
2023-02-07,43
2023-02-08,44
2023-02-09,36
2023-02-10,50
2023-02-11,55
2023-02-12,53
2023-02-13,59
2023-02-14,55
2023-02-15,70
2023-02-16,57
2023-02-17,43
2023-02-18,47
2023-02-19,38
2023-02-20,62
2023-02-21,54
2023-02-22,55
2023-02-23,50
2023-02-24,45
2023-02-25,32
2023-02-26,43
2023-02-27,34
2023-02-28,57
2023-03-01,58
2023-03-02,64
2023-03-03,67
2023-03-04,42
2023-03-05,34
2023-03-06,36
2023-03-07,50
2023-03-08,60
2023-03-09,66
2023-03-10,51
2023-03-11,55
2023-03-12,22
2023-03-13,54
2023-03-14,72
2023-03-15,53
2023-03-16,38
2023-03-17,38
2023-03-18,42
