date,fındık fiyatı
2025-08-04,36
2025-08-05,100
2025-08-06,53
2025-08-07,24
2025-08-08,34
2025-08-09,40
2025-08-10,35
2025-08-11,29
2025-08-12,26
2025-08-13,28
2025-08-14,32
2025-08-15,25
2025-08-16,33
2025-08-17,35
2025-08-18,47
2025-08-19,49
2025-08-20,28
2025-08-21,33
2025-08-22,48
2025-08-23,51
2025-08-24,52
2025-08-25,63
2025-08-26,45
2025-08-27,40
2025-08-28,53
2025-08-29,57
2025-08-30,53
2025-08-31,47
2025-09-01,59
2025-09-02,61
2025-09-03,64
2025-09-04,55
2025-09-05,42
2025-09-06,37
2025-09-07,48
2025-09-08,45
2025-09-09,63
2025-09-10,74
2025-09-11,72
2025-09-12,64
2025-09-13,64
2025-09-14,44
2025-09-15,92
2025-09-16,61
2025-09-17,60
2025-09-18,63
2025-09-19,50
2025-09-20,49
2025-09-21,39
2025-09-22,48
2025-09-23,73
2025-09-24,67
2025-09-25,69
2025-09-26,70
2025-09-27,48
2025-09-28,47
2025-09-29,68
2025-09-30,47
2025-10-01,52
2025-10-02,65
2025-10-03,53
2025-10-04,47
2025-10-05,45
2025-10-06,65
2025-10-07,64
2025-10-08,50
2025-10-09,47
2025-10-10,40
2025-10-11,39
2025-10-12,40
2025-10-13,46
2025-10-14,47
2025-10-15,52
2025-10-16,42
2025-10-17,43
2025-10-18,32
2025-10-19,28
2025-10-20,53
2025-10-21,47
2025-10-22,42
2025-10-23,34
2025-10-24,34
2025-10-25,25
2025-10-26,26
2025-10-27,42
2025-10-28,24
2025-10-29,28
2025-10-30,44
2025-10-31,47
2025-11-01,32
2025-11-02,28
