date,fındık fiyatı
2023-03-08,74
2023-03-09,82
2023-03-10,63
2023-03-11,68
2023-03-12,27
2023-03-13,66
2023-03-14,88
2023-03-15,66
2023-03-16,47
2023-03-17,47
2023-03-18,52
2023-03-19,37
2023-03-20,73
2023-03-21,73
2023-03-22,53
2023-03-23,45
2023-03-24,45
2023-03-25,50
2023-03-26,55
2023-03-27,69
2023-03-28,74
2023-03-29,63
2023-03-30,76
2023-03-31,85
2023-04-01,60
2023-04-02,51
2023-04-03,89
2023-04-04,70
2023-04-05,74
2023-04-06,63
2023-04-07,65
2023-04-08,55
2023-04-09,32
2023-04-10,26
2023-04-11,82
2023-04-12,62
2023-04-13,61
2023-04-14,42
2023-04-15,53
2023-04-16,52
2023-04-17,65
2023-04-18,38
2023-04-19,32
2023-04-20,37
2023-04-21,35
2023-04-22,57
2023-04-23,33
2023-04-24,67
2023-04-25,37
2023-04-26,61
2023-04-27,62
2023-04-28,68
2023-04-29,61
2023-04-30,31
2023-05-01,73
2023-05-02,48
2023-05-03,81
2023-05-04,100
2023-05-05,63
2023-05-06,43
2023-05-07,37
2023-05-08,40
2023-05-09,53
2023-05-10,74
2023-05-11,49
2023-05-12,60
2023-05-13,40
2023-05-14,0
2023-05-15,34
2023-05-16,34
2023-05-17,33
2023-05-18,63
2023-05-19,48
2023-05-20,40
2023-05-21,0
2023-05-22,41
2023-05-23,42
2023-05-24,49
2023-05-25,43
2023-05-26,42
2023-05-27,44
2023-05-28,28
2023-05-29,39
2023-05-30,48
2023-05-31,50
2023-06-01,39
2023-06-02,45
2023-06-03,31
2023-06-04,34
2023-06-05,21
2023-06-06,50
