date,fındık fiyatı
2013-12-25,57
2013-12-26,46
2013-12-27,48
2013-12-28,0
2013-12-29,0
2013-12-30,65
2013-12-31,70
2014-01-01,40
2014-01-02,56
2014-01-03,50
2014-01-04,29
2014-01-05,0
2014-01-06,79
2014-01-07,81
2014-01-08,59
2014-01-09,67
2014-01-10,60
2014-01-11,0
2014-01-12,34
2014-01-13,77
2014-01-14,99
2014-01-15,100
2014-01-16,65
2014-01-17,41
2014-01-18,35
2014-01-19,0
2014-01-20,82
2014-01-21,59
2014-01-22,84
2014-01-23,58
2014-01-24,85
2014-01-25,30
2014-01-26,0
2014-01-27,63
2014-01-28,52
2014-01-29,71
2014-01-30,76
2014-01-31,54
2014-02-01,41
2014-02-02,0
2014-02-03,63
2014-02-04,57
2014-02-05,64
2014-02-06,45
2014-02-07,76
2014-02-08,56
2014-02-09,0
2014-02-10,99
2014-02-11,88
2014-02-12,62
2014-02-13,56
2014-02-14,73
2014-02-15,41
2014-02-16,38
2014-02-17,63
2014-02-18,65
2014-02-19,46
2014-02-20,62
2014-02-21,55
2014-02-22,0
2014-02-23,0
2014-02-24,66
2014-02-25,55
2014-02-26,48
2014-02-27,43
2014-02-28,52
2014-03-01,0
2014-03-02,0
2014-03-03,48
2014-03-04,35
2014-03-05,45
2014-03-06,31
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,47
2014-03-11,41
2014-03-12,46
2014-03-13,45
2014-03-14,27
2014-03-15,0
2014-03-16,0
2014-03-17,36
2014-03-18,0
2014-03-19,43
2014-03-20,35
2014-03-21,38
2014-03-22,0
2014-03-23,0
2014-03-24,41
2014-03-25,0
