date,fındık fiyatı
2015-09-26,25
2015-09-27,27
2015-09-28,40
2015-09-29,50
2015-09-30,48
2015-10-01,46
2015-10-02,51
2015-10-03,25
2015-10-04,28
2015-10-05,53
2015-10-06,41
2015-10-07,52
2015-10-08,50
2015-10-09,45
2015-10-10,28
2015-10-11,30
2015-10-12,51
2015-10-13,46
2015-10-14,50
2015-10-15,49
2015-10-16,61
2015-10-17,37
2015-10-18,33
2015-10-19,51
2015-10-20,40
2015-10-21,38
2015-10-22,35
2015-10-23,43
2015-10-24,23
2015-10-25,22
2015-10-26,61
2015-10-27,49
2015-10-28,46
2015-10-29,39
2015-10-30,40
2015-10-31,21
2015-11-01,20
2015-11-02,75
2015-11-03,66
2015-11-04,59
2015-11-05,50
2015-11-06,59
2015-11-07,31
2015-11-08,38
2015-11-09,81
2015-11-10,81
2015-11-11,73
2015-11-12,66
2015-11-13,52
2015-11-14,38
2015-11-15,36
2015-11-16,70
2015-11-17,60
2015-11-18,51
2015-11-19,63
2015-11-20,49
2015-11-21,32
2015-11-22,33
2015-11-23,61
2015-11-24,56
2015-11-25,49
2015-11-26,49
2015-11-27,52
2015-11-28,36
2015-11-29,30
2015-11-30,64
2015-12-01,60
2015-12-02,66
2015-12-03,57
2015-12-04,58
2015-12-05,45
2015-12-06,39
2015-12-07,71
2015-12-08,58
2015-12-09,56
2015-12-10,63
2015-12-11,57
2015-12-12,38
2015-12-13,42
2015-12-14,59
2015-12-15,70
2015-12-16,68
2015-12-17,70
2015-12-18,63
2015-12-19,47
2015-12-20,39
2015-12-21,77
2015-12-22,64
2015-12-23,63
2015-12-24,81
2015-12-25,100
