date,fındık fiyatı
2019-09-05,94
2019-09-06,80
2019-09-07,84
2019-09-08,63
2019-09-09,99
2019-09-10,87
2019-09-11,89
2019-09-12,100
2019-09-13,85
2019-09-14,58
2019-09-15,64
2019-09-16,94
2019-09-17,98
2019-09-18,91
2019-09-19,94
2019-09-20,76
2019-09-21,52
2019-09-22,49
2019-09-23,64
2019-09-24,65
2019-09-25,73
2019-09-26,47
2019-09-27,54
2019-09-28,42
2019-09-29,35
2019-09-30,67
2019-10-01,60
2019-10-02,56
2019-10-03,45
2019-10-04,50
2019-10-05,27
2019-10-06,34
2019-10-07,56
2019-10-08,35
2019-10-09,41
2019-10-10,49
2019-10-11,33
2019-10-12,27
2019-10-13,23
2019-10-14,36
2019-10-15,39
2019-10-16,31
2019-10-17,31
2019-10-18,34
2019-10-19,22
2019-10-20,21
2019-10-21,41
2019-10-22,32
2019-10-23,34
2019-10-24,32
2019-10-25,36
2019-10-26,36
2019-10-27,21
2019-10-28,31
2019-10-29,31
2019-10-30,41
2019-10-31,47
2019-11-01,46
2019-11-02,29
2019-11-03,29
2019-11-04,55
2019-11-05,47
2019-11-06,53
2019-11-07,49
2019-11-08,41
2019-11-09,28
2019-11-10,29
2019-11-11,48
2019-11-12,40
2019-11-13,47
2019-11-14,40
2019-11-15,48
2019-11-16,24
2019-11-17,35
2019-11-18,41
2019-11-19,49
2019-11-20,47
2019-11-21,44
2019-11-22,34
2019-11-23,32
2019-11-24,12
2019-11-25,28
2019-11-26,36
2019-11-27,45
2019-11-28,35
2019-11-29,30
2019-11-30,18
2019-12-01,20
2019-12-02,32
2019-12-03,31
2019-12-04,21
