date,fındık fiyatı
2024-01-22,88
2024-01-23,100
2024-01-24,89
2024-01-25,74
2024-01-26,67
2024-01-27,66
2024-01-28,57
2024-01-29,69
2024-01-30,60
2024-01-31,60
2024-02-01,68
2024-02-02,73
2024-02-03,43
2024-02-04,53
2024-02-05,73
2024-02-06,54
2024-02-07,56
2024-02-08,69
2024-02-09,66
2024-02-10,27
2024-02-11,33
2024-02-12,56
2024-02-13,63
2024-02-14,53
2024-02-15,67
2024-02-16,89
2024-02-17,57
2024-02-18,44
2024-02-19,67
2024-02-20,69
2024-02-21,67
2024-02-22,69
2024-02-23,60
2024-02-24,48
2024-02-25,47
2024-02-26,52
2024-02-27,70
2024-02-28,58
2024-02-29,65
2024-03-01,50
2024-03-02,43
2024-03-03,44
2024-03-04,33
2024-03-05,59
2024-03-06,48
2024-03-07,66
2024-03-08,55
2024-03-09,59
2024-03-10,25
2024-03-11,61
2024-03-12,59
2024-03-13,59
2024-03-14,42
2024-03-15,55
2024-03-16,54
2024-03-17,35
2024-03-18,55
2024-03-19,56
2024-03-20,75
2024-03-21,48
2024-03-22,41
2024-03-23,55
2024-03-24,25
2024-03-25,50
2024-03-26,40
2024-03-27,42
2024-03-28,43
2024-03-29,37
2024-03-30,36
2024-03-31,0
2024-04-01,27
2024-04-02,41
2024-04-03,40
2024-04-04,40
2024-04-05,22
2024-04-06,26
2024-04-07,39
2024-04-08,33
2024-04-09,0
2024-04-10,48
2024-04-11,0
2024-04-12,38
2024-04-13,32
2024-04-14,25
2024-04-15,54
2024-04-16,29
2024-04-17,51
2024-04-18,52
2024-04-19,47
2024-04-20,32
2024-04-21,32
