date,fındık fiyatı
2022-09-29,59
2022-09-30,71
2022-10-01,45
2022-10-02,53
2022-10-03,100
2022-10-04,66
2022-10-05,80
2022-10-06,61
2022-10-07,66
2022-10-08,73
2022-10-09,66
2022-10-10,78
2022-10-11,53
2022-10-12,47
2022-10-13,66
2022-10-14,52
2022-10-15,46
2022-10-16,47
2022-10-17,61
2022-10-18,63
2022-10-19,62
2022-10-20,57
2022-10-21,55
2022-10-22,46
2022-10-23,32
2022-10-24,45
2022-10-25,48
2022-10-26,58
2022-10-27,63
2022-10-28,54
2022-10-29,44
2022-10-30,27
2022-10-31,45
2022-11-01,59
2022-11-02,52
2022-11-03,45
2022-11-04,43
2022-11-05,32
2022-11-06,24
2022-11-07,29
2022-11-08,60
2022-11-09,56
2022-11-10,39
2022-11-11,38
2022-11-12,36
2022-11-13,37
2022-11-14,49
2022-11-15,50
2022-11-16,48
2022-11-17,54
2022-11-18,44
2022-11-19,43
2022-11-20,65
2022-11-21,61
2022-11-22,78
2022-11-23,71
2022-11-24,66
2022-11-25,69
2022-11-26,50
2022-11-27,36
2022-11-28,57
2022-11-29,53
2022-11-30,39
2022-12-01,62
2022-12-02,55
2022-12-03,70
2022-12-04,58
2022-12-05,79
2022-12-06,72
2022-12-07,65
2022-12-08,48
2022-12-09,55
2022-12-10,58
2022-12-11,52
2022-12-12,74
2022-12-13,80
2022-12-14,54
2022-12-15,59
2022-12-16,41
2022-12-17,53
2022-12-18,58
2022-12-19,81
2022-12-20,74
2022-12-21,75
2022-12-22,52
2022-12-23,54
2022-12-24,55
2022-12-25,59
2022-12-26,72
2022-12-27,82
2022-12-28,53
