date,fındık fiyatı
2018-08-01,16
2018-08-02,18
2018-08-03,24
2018-08-04,19
2018-08-05,18
2018-08-06,30
2018-08-07,36
2018-08-08,43
2018-08-09,37
2018-08-10,41
2018-08-11,45
2018-08-12,41
2018-08-13,60
2018-08-14,52
2018-08-15,76
2018-08-16,70
2018-08-17,67
2018-08-18,58
2018-08-19,54
2018-08-20,53
2018-08-21,45
2018-08-22,43
2018-08-23,37
2018-08-24,41
2018-08-25,54
2018-08-26,52
2018-08-27,99
2018-08-28,84
2018-08-29,80
2018-08-30,61
2018-08-31,71
2018-09-01,60
2018-09-02,61
2018-09-03,93
2018-09-04,87
2018-09-05,79
2018-09-06,75
2018-09-07,71
2018-09-08,59
2018-09-09,51
2018-09-10,73
2018-09-11,65
2018-09-12,70
2018-09-13,59
2018-09-14,56
2018-09-15,52
2018-09-16,37
2018-09-17,63
2018-09-18,52
2018-09-19,45
2018-09-20,48
2018-09-21,46
2018-09-22,32
2018-09-23,29
2018-09-24,49
2018-09-25,49
2018-09-26,49
2018-09-27,43
2018-09-28,39
2018-09-29,29
2018-09-30,23
2018-10-01,41
2018-10-02,35
2018-10-03,39
2018-10-04,37
2018-10-05,35
2018-10-06,23
2018-10-07,20
2018-10-08,36
2018-10-09,37
2018-10-10,33
2018-10-11,33
2018-10-12,33
2018-10-13,13
2018-10-14,20
2018-10-15,34
2018-10-16,29
2018-10-17,31
2018-10-18,33
2018-10-19,25
2018-10-20,18
2018-10-21,16
2018-10-22,29
2018-10-23,25
2018-10-24,23
2018-10-25,27
2018-10-26,100
2018-10-27,41
2018-10-28,22
2018-10-29,35
2018-10-30,43
