date,fındık fiyatı
2021-11-13,32
2021-11-14,16
2021-11-15,29
2021-11-16,28
2021-11-17,36
2021-11-18,31
2021-11-19,20
2021-11-20,25
2021-11-21,15
2021-11-22,33
2021-11-23,49
2021-11-24,76
2021-11-25,63
2021-11-26,46
2021-11-27,35
2021-11-28,24
2021-11-29,50
2021-11-30,40
2021-12-01,41
2021-12-02,51
2021-12-03,47
2021-12-04,35
2021-12-05,46
2021-12-06,65
2021-12-07,35
2021-12-08,31
2021-12-09,35
2021-12-10,36
2021-12-11,30
2021-12-12,35
2021-12-13,40
2021-12-14,41
2021-12-15,53
2021-12-16,52
2021-12-17,58
2021-12-18,46
2021-12-19,38
2021-12-20,60
2021-12-21,100
2021-12-22,68
2021-12-23,62
2021-12-24,41
2021-12-25,29
2021-12-26,27
2021-12-27,39
2021-12-28,45
2021-12-29,15
2021-12-30,36
2021-12-31,29
2022-01-01,23
2022-01-02,22
2022-01-03,28
2022-01-04,35
2022-01-05,39
2022-01-06,39
2022-01-07,37
2022-01-08,29
2022-01-09,44
2022-01-10,46
2022-01-11,26
2022-01-12,22
2022-01-13,24
2022-01-14,31
2022-01-15,17
2022-01-16,32
2022-01-17,24
2022-01-18,25
2022-01-19,28
2022-01-20,13
2022-01-21,19
2022-01-22,20
2022-01-23,19
2022-01-24,12
2022-01-25,15
2022-01-26,18
2022-01-27,21
2022-01-28,17
2022-01-29,20
2022-01-30,13
2022-01-31,27
2022-02-01,22
2022-02-02,22
2022-02-03,19
2022-02-04,24
2022-02-05,0
2022-02-06,20
2022-02-07,18
2022-02-08,20
2022-02-09,20
2022-02-10,23
2022-02-11,18
