date,fındık fiyatı
2025-10-23,66
2025-10-24,66
2025-10-25,48
2025-10-26,49
2025-10-27,80
2025-10-28,46
2025-10-29,53
2025-10-30,84
2025-10-31,91
2025-11-01,62
2025-11-02,54
2025-11-03,90
2025-11-04,70
2025-11-05,83
2025-11-06,69
2025-11-07,85
2025-11-08,45
2025-11-09,29
2025-11-10,83
2025-11-11,46
2025-11-12,45
2025-11-13,65
2025-11-14,52
2025-11-15,51
2025-11-16,53
2025-11-17,80
2025-11-18,50
2025-11-19,68
2025-11-20,60
2025-11-21,70
2025-11-22,41
2025-11-23,34
2025-11-24,100
2025-11-25,60
2025-11-26,61
2025-11-27,57
2025-11-28,66
2025-11-29,33
2025-11-30,49
2025-12-01,46
2025-12-02,66
2025-12-03,60
2025-12-04,43
2025-12-05,56
2025-12-06,52
2025-12-07,29
2025-12-08,78
2025-12-09,57
2025-12-10,75
2025-12-11,82
2025-12-12,54
2025-12-13,45
2025-12-14,22
2025-12-15,33
2025-12-16,39
2025-12-17,68
2025-12-18,69
2025-12-19,52
2025-12-20,45
2025-12-21,46
2025-12-22,63
2025-12-23,51
2025-12-24,52
2025-12-25,57
2025-12-26,67
2025-12-27,54
2025-12-28,44
2025-12-29,62
2025-12-30,65
2025-12-31,53
