date,fındık fiyatı
2023-08-15,16
2023-08-16,19
2023-08-17,19
2023-08-18,17
2023-08-19,15
2023-08-20,16
2023-08-21,26
2023-08-22,22
2023-08-23,18
2023-08-24,17
2023-08-25,18
2023-08-26,22
2023-08-27,17
2023-08-28,20
2023-08-29,18
2023-08-30,20
2023-08-31,22
2023-09-01,17
2023-09-02,19
2023-09-03,18
2023-09-04,23
2023-09-05,31
2023-09-06,29
2023-09-07,32
2023-09-08,36
2023-09-09,48
2023-09-10,36
2023-09-11,50
2023-09-12,50
2023-09-13,51
2023-09-14,63
2023-09-15,66
2023-09-16,66
2023-09-17,63
2023-09-18,100
2023-09-19,68
2023-09-20,52
2023-09-21,44
2023-09-22,42
2023-09-23,36
2023-09-24,28
2023-09-25,48
2023-09-26,38
2023-09-27,43
2023-09-28,42
2023-09-29,39
2023-09-30,32
2023-10-01,26
2023-10-02,43
2023-10-03,39
2023-10-04,34
2023-10-05,29
2023-10-06,32
2023-10-07,25
2023-10-08,23
2023-10-09,30
2023-10-10,32
2023-10-11,31
2023-10-12,32
2023-10-13,29
2023-10-14,19
2023-10-15,21
2023-10-16,37
2023-10-17,35
2023-10-18,36
2023-10-19,38
2023-10-20,36
2023-10-21,21
2023-10-22,25
2023-10-23,34
2023-10-24,29
2023-10-25,32
2023-10-26,34
2023-10-27,27
2023-10-28,21
2023-10-29,15
2023-10-30,29
2023-10-31,23
2023-11-01,26
2023-11-02,26
2023-11-03,21
2023-11-04,20
2023-11-05,15
2023-11-06,26
2023-11-07,23
2023-11-08,18
2023-11-09,20
2023-11-10,18
2023-11-11,13
2023-11-12,16
2023-11-13,23
