date,fındık fiyatı
2016-10-30,47
2016-10-31,82
2016-11-01,100
2016-11-02,95
2016-11-03,82
2016-11-04,75
2016-11-05,40
2016-11-06,37
2016-11-07,93
2016-11-08,69
2016-11-09,64
2016-11-10,59
2016-11-11,65
2016-11-12,23
2016-11-13,35
2016-11-14,88
2016-11-15,80
2016-11-16,78
2016-11-17,79
2016-11-18,72
2016-11-19,44
2016-11-20,26
2016-11-21,95
2016-11-22,81
2016-11-23,74
2016-11-24,77
2016-11-25,83
2016-11-26,35
2016-11-27,27
2016-11-28,82
2016-11-29,85
2016-11-30,74
2016-12-01,77
2016-12-02,78
2016-12-03,34
2016-12-04,29
2016-12-05,75
2016-12-06,61
2016-12-07,64
2016-12-08,53
2016-12-09,51
2016-12-10,26
2016-12-11,19
2016-12-12,62
2016-12-13,65
2016-12-14,55
2016-12-15,50
2016-12-16,52
2016-12-17,28
2016-12-18,29
2016-12-19,59
2016-12-20,46
2016-12-21,44
2016-12-22,46
2016-12-23,39
2016-12-24,21
2016-12-25,25
2016-12-26,40
2016-12-27,47
2016-12-28,39
2016-12-29,36
2016-12-30,35
2016-12-31,18
2017-01-01,19
2017-01-02,46
2017-01-03,45
2017-01-04,42
2017-01-05,37
2017-01-06,39
2017-01-07,22
2017-01-08,23
2017-01-09,57
2017-01-10,39
2017-01-11,42
2017-01-12,46
2017-01-13,45
2017-01-14,29
2017-01-15,24
2017-01-16,57
2017-01-17,60
2017-01-18,68
2017-01-19,80
2017-01-20,83
2017-01-21,36
2017-01-22,28
2017-01-23,95
2017-01-24,68
2017-01-25,69
2017-01-26,58
2017-01-27,55
2017-01-28,33
