date,fındık fiyatı
2019-03-29,80
2019-03-30,40
2019-03-31,33
2019-04-01,33
2019-04-02,100
2019-04-03,59
2019-04-04,80
2019-04-05,48
2019-04-06,0
2019-04-07,53
2019-04-08,79
2019-04-09,50
2019-04-10,56
2019-04-11,64
2019-04-12,61
2019-04-13,55
2019-04-14,90
2019-04-15,67
2019-04-16,58
2019-04-17,76
2019-04-18,50
2019-04-19,45
2019-04-20,44
2019-04-21,0
2019-04-22,89
2019-04-23,49
2019-04-24,48
2019-04-25,52
2019-04-26,67
2019-04-27,0
2019-04-28,0
2019-04-29,39
2019-04-30,42
2019-05-01,46
2019-05-02,75
2019-05-03,83
2019-05-04,0
2019-05-05,0
2019-05-06,0
2019-05-07,41
2019-05-08,36
2019-05-09,58
2019-05-10,37
2019-05-11,0
2019-05-12,0
2019-05-13,34
2019-05-14,57
2019-05-15,42
2019-05-16,0
2019-05-17,47
2019-05-18,41
2019-05-19,0
2019-05-20,50
2019-05-21,34
2019-05-22,0
2019-05-23,42
2019-05-24,0
2019-05-25,0
2019-05-26,0
2019-05-27,0
2019-05-28,0
2019-05-29,38
2019-05-30,0
2019-05-31,0
2019-06-01,0
2019-06-02,46
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,52
2019-06-08,0
2019-06-09,0
2019-06-10,84
2019-06-11,57
2019-06-12,40
2019-06-13,47
2019-06-14,41
2019-06-15,53
2019-06-16,0
2019-06-17,0
2019-06-18,46
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,40
2019-06-24,0
2019-06-25,0
2019-06-26,46
2019-06-27,47
