date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
1999-01-01,5.9,2.0,2.7,-1.4,0.0,0.0,13.2,0.6
1999-01-02,12.4,2.3,10.0,-1.8,0.0,0.0,12.8,1.19
1999-01-03,11.5,0.9,8.3,-2.0,0.0,0.0,12.7,1.23
1999-01-04,14.5,3.7,13.0,0.7,0.0,0.0,10.4,1.24
1999-01-05,12.2,2.6,9.6,-0.6,0.0,0.0,9.3,1.11
1999-01-06,7.6,5.6,5.3,2.7,2.5,2.5,10.9,0.46
1999-01-07,8.7,4.6,6.5,0.9,0.4,0.4,12.0,0.7
1999-01-08,13.5,4.5,11.6,0.9,0.0,0.0,12.1,1.42
1999-01-09,12.6,3.0,10.8,-0.2,0.0,0.0,11.5,1.33
1999-01-10,15.0,5.7,13.0,1.9,0.0,0.0,20.7,1.73
1999-01-11,8.8,7.1,7.0,4.8,1.3,1.3,11.2,0.41
1999-01-12,14.2,6.7,12.3,4.0,0.0,0.0,11.6,1.22
1999-01-13,14.2,5.5,13.0,3.0,0.0,0.0,10.6,1.01
1999-01-14,14.8,5.2,13.3,2.5,0.0,0.0,14.4,1.67
1999-01-15,16.0,5.7,13.3,3.0,0.0,0.0,14.8,1.7
1999-01-16,10.6,4.4,7.4,0.8,9.4,9.1,19.1,0.68
1999-01-17,6.1,2.6,2.5,-0.9,8.4,7.2,13.7,0.73
1999-01-18,4.7,2.7,2.5,-0.4,5.9,2.8,8.4,0.57
1999-01-19,5.6,3.8,3.4,1.6,6.2,6.1,7.8,0.44
1999-01-20,5.4,3.8,2.5,0.5,8.2,8.0,13.5,0.45
1999-01-21,5.9,3.3,3.3,0.4,0.3,0.3,11.4,0.67
1999-01-22,10.0,2.7,7.2,-0.5,0.0,0.0,11.3,0.92
1999-01-23,8.4,2.7,5.5,-0.2,3.9,3.9,10.3,0.86
1999-01-24,5.9,3.2,2.8,0.9,6.3,6.3,12.7,0.53
1999-01-25,6.7,1.9,3.6,-1.6,0.3,0.3,10.5,0.8
1999-01-26,11.1,0.2,8.2,-3.8,0.0,0.0,11.7,1.5
1999-01-27,11.7,3.4,9.7,-0.4,0.0,0.0,14.0,1.43
1999-01-28,13.9,4.2,11.2,-0.1,0.0,0.0,18.7,2.25
1999-01-29,14.0,8.4,10.5,3.1,0.0,0.0,24.1,2.55
1999-01-30,14.5,10.9,11.3,8.1,0.0,0.0,17.4,2.84
1999-01-31,13.8,7.6,10.5,6.0,0.7,0.7,18.4,1.75
1999-02-01,10.1,6.2,7.7,3.7,0.0,0.0,13.6,0.93
1999-02-02,12.4,3.0,10.2,-0.8,8.6,5.9,19.5,1.26
1999-02-03,4.0,1.4,0.3,-2.7,13.4,7.4,21.1,0.75
1999-02-04,6.0,-2.5,2.8,-5.6,0.3,0.3,10.1,1.16
1999-02-05,7.2,-1.5,4.6,-5.1,0.0,0.0,13.7,1.37
1999-02-06,11.2,2.9,8.4,-2.0,0.0,0.0,17.6,2.19
1999-02-07,11.4,6.9,8.7,3.7,0.5,0.5,17.2,1.48
1999-02-08,6.9,3.2,2.8,-0.7,6.8,5.2,25.1,0.8
1999-02-09,12.9,3.7,9.6,-0.3,9.1,9.1,30.9,1.54
1999-02-10,11.5,4.2,7.5,1.0,0.5,0.5,15.5,1.78
1999-02-11,14.0,4.4,12.4,0.2,0.0,0.0,12.7,2.35
1999-02-12,14.4,4.6,11.9,0.4,0.0,0.0,14.0,2.67
1999-02-13,14.8,8.4,13.1,4.6,0.0,0.0,14.4,2.54
1999-02-14,14.3,7.2,12.3,4.5,0.2,0.2,16.9,1.86
1999-02-15,13.6,5.0,12.2,2.1,3.0,3.0,16.6,1.76
1999-02-16,7.4,5.1,4.5,2.3,3.9,3.9,12.5,0.78
1999-02-17,11.7,5.4,9.5,2.4,6.2,6.2,13.2,1.45
1999-02-18,8.5,4.7,5.5,1.5,6.7,6.7,24.1,0.65
1999-02-19,13.7,3.6,10.3,-3.1,6.0,5.9,31.2,2.17
1999-02-20,3.7,-1.5,-2.5,-6.1,6.1,3.4,38.4,1.44
1999-02-21,9.1,-1.9,4.5,-5.7,0.2,0.2,20.8,2.14
1999-02-22,12.5,7.6,9.5,2.7,0.8,0.8,20.1,2.32
1999-02-23,15.9,9.9,11.5,5.8,0.0,0.0,21.4,3.94
1999-02-24,13.5,1.9,11.5,-3.0,9.1,4.8,26.8,2.66
1999-02-25,6.3,-1.3,4.6,-5.1,8.1,2.5,18.4,1.8
1999-02-26,9.3,-0.6,6.6,-4.7,0.0,0.0,10.4,1.39
1999-02-27,8.2,0.4,6.2,-2.8,0.0,0.0,8.3,1.73
1999-02-28,10.0,0.0,8.0,-2.5,0.0,0.0,8.8,1.85
1999-03-01,14.3,2.8,12.5,-0.2,0.0,0.0,11.1,2.27
1999-03-02,15.1,5.4,14.1,2.4,0.0,0.0,10.8,2.37
1999-03-03,12.0,3.7,9.9,1.7,0.4,0.4,10.3,1.78
1999-03-04,13.7,3.4,11.9,0.9,0.0,0.0,12.7,2.3
1999-03-05,17.1,6.3,16.3,2.9,0.0,0.0,11.5,2.96
1999-03-06,17.4,7.3,16.1,4.3,0.0,0.0,10.3,2.9
1999-03-07,16.0,6.3,15.1,4.0,0.0,0.0,9.2,2.61
1999-03-08,15.9,6.9,15.0,4.2,0.0,0.0,12.6,2.58
1999-03-09,17.7,5.6,16.0,2.1,4.3,4.3,23.3,1.94
1999-03-10,7.7,5.2,5.2,2.5,8.4,8.4,13.4,0.96
1999-03-11,8.2,4.5,6.1,2.0,4.9,4.9,15.1,0.79
1999-03-12,12.8,3.8,11.2,0.7,0.0,0.0,12.8,2.34
1999-03-13,10.7,5.8,8.6,4.1,0.0,0.0,12.6,1.44
1999-03-14,9.6,4.6,7.5,2.4,5.8,5.8,13.0,1.39
1999-03-15,5.7,0.6,3.0,-2.8,13.0,7.6,21.2,0.87
1999-03-16,5.1,-1.0,2.5,-4.1,1.0,1.0,10.0,1.63
1999-03-17,7.4,-1.5,4.5,-4.4,0.0,0.0,16.5,1.85
1999-03-18,11.9,3.2,9.2,-0.4,1.1,1.1,13.4,1.73
1999-03-19,16.1,9.7,13.2,7.0,0.3,0.3,14.4,2.26
1999-03-20,12.7,5.0,11.3,1.8,7.8,7.8,17.6,1.27
1999-03-21,6.9,4.2,3.7,1.1,5.5,5.5,13.6,1.09
1999-03-22,7.1,4.0,4.2,1.7,3.2,3.0,11.1,1.27
1999-03-23,8.1,2.5,6.3,-0.6,5.4,5.4,9.2,1.11
1999-03-24,13.4,2.0,11.2,-1.2,0.0,0.0,17.2,2.6
1999-03-25,14.0,4.5,11.6,0.4,8.4,8.4,28.7,1.7
1999-03-26,6.4,3.9,1.8,-0.3,8.7,8.2,19.0,1.24
1999-03-27,11.1,5.1,9.2,1.5,2.2,2.2,14.0,2.14
1999-03-28,15.7,4.6,13.6,1.0,0.0,0.0,16.2,3.3
1999-03-29,16.6,10.3,15.7,7.3,0.6,0.6,14.5,3.07
1999-03-30,16.6,9.2,15.1,6.8,0.0,0.0,14.0,2.83
1999-03-31,16.1,9.4,16.1,7.0,2.1,2.1,13.0,2.62
1999-04-01,11.9,8.0,10.5,6.5,16.9,16.9,16.9,1.27
1999-04-02,11.7,7.9,10.3,6.2,4.9,4.9,12.5,1.56
1999-04-03,12.9,6.9,11.6,5.5,6.4,6.4,11.7,1.97
1999-04-04,13.9,5.8,13.7,3.8,5.9,5.9,10.0,2.39
1999-04-05,11.3,7.6,9.4,6.0,1.2,1.2,14.5,1.49
1999-04-06,8.8,6.0,6.4,3.9,0.4,0.4,11.2,1.15
1999-04-07,10.0,5.9,7.6,3.5,0.0,0.0,13.6,1.53
1999-04-08,11.8,4.2,10.6,1.8,0.0,0.0,13.5,2.56
1999-04-09,15.1,3.8,14.5,1.2,0.0,0.0,12.2,3.3
1999-04-10,15.9,6.1,16.7,4.2,0.0,0.0,9.6,3.12
1999-04-11,20.4,8.1,20.5,6.3,0.0,0.0,20.3,3.92
1999-04-12,14.3,10.3,14.4,9.3,24.9,24.9,12.8,1.44
1999-04-13,14.6,7.4,14.1,5.7,6.0,6.0,8.1,2.26
1999-04-14,18.0,7.6,17.1,5.2,0.2,0.2,16.6,3.65
1999-04-15,13.2,8.2,11.8,6.8,6.3,6.3,16.8,1.56
1999-04-16,15.2,7.4,15.2,5.6,0.0,0.0,10.1,3.25
1999-04-17,16.7,6.4,16.3,4.4,0.0,0.0,14.5,3.56
1999-04-18,21.8,12.6,23.3,10.6,0.0,0.0,10.2,4.13
1999-04-19,20.7,11.9,19.7,9.7,0.9,0.9,30.2,3.16
1999-04-20,14.1,9.4,13.2,8.6,0.0,0.0,9.6,3.02
1999-04-21,15.3,7.4,16.0,5.9,1.2,1.2,16.4,3.16
1999-04-22,8.9,6.1,6.4,2.5,9.9,9.9,16.5,1.05
1999-04-23,13.8,5.6,13.3,3.3,0.1,0.1,15.5,3.01
1999-04-24,15.8,6.6,15.9,4.5,0.0,0.0,16.8,3.17
1999-04-25,17.4,7.8,18.8,6.4,0.0,0.0,11.2,3.62
1999-04-26,19.5,8.3,21.2,6.7,0.0,0.0,12.5,3.84
1999-04-27,17.8,10.1,19.2,9.1,6.8,6.8,14.3,3.03
1999-04-28,15.1,11.5,15.2,11.5,1.4,1.4,11.7,2.46
1999-04-29,15.3,10.2,15.4,9.6,7.5,7.5,6.6,1.45
1999-04-30,18.0,10.4,18.9,9.7,0.6,0.6,11.1,3.82
1999-05-01,21.2,11.5,22.5,10.1,0.3,0.3,11.3,3.94
1999-05-02,21.0,12.7,23.4,12.0,0.0,0.0,6.9,3.88
1999-05-03,22.1,12.7,23.8,11.7,2.6,2.6,16.4,3.76
1999-05-04,16.7,11.4,18.4,10.8,3.1,3.1,12.4,2.65
1999-05-05,16.9,11.3,17.0,10.6,0.0,0.0,15.4,2.73
1999-05-06,13.5,9.0,12.5,6.2,8.9,8.9,17.1,1.28
1999-05-07,9.8,5.8,7.0,1.9,2.5,2.5,12.8,2.29
1999-05-08,11.3,6.1,11.1,2.3,0.0,0.0,11.5,3.18
1999-05-09,12.6,5.9,11.5,4.0,0.0,0.0,8.7,2.88
1999-05-10,16.5,6.5,16.6,4.6,0.0,0.0,14.9,3.49
1999-05-11,17.1,9.9,18.1,9.0,0.0,0.0,13.6,3.58
1999-05-12,19.4,10.3,21.7,9.2,0.0,0.0,12.0,3.85
1999-05-13,19.8,12.0,21.3,12.1,0.3,0.3,12.7,3.39
1999-05-14,17.1,11.8,17.4,11.2,2.1,2.1,11.6,2.21
1999-05-15,22.5,11.5,24.3,10.8,0.4,0.4,13.8,4.22
1999-05-16,22.5,14.0,25.4,14.5,7.6,7.6,12.0,3.86
1999-05-17,20.9,12.4,23.1,10.3,23.9,23.9,16.4,2.59
1999-05-18,16.1,10.3,16.7,8.9,0.0,0.0,12.4,3.93
1999-05-19,14.1,9.2,12.0,6.3,9.6,9.6,20.9,1.46
1999-05-20,14.5,8.1,14.9,5.6,0.0,0.0,13.5,3.87
1999-05-21,18.7,7.9,19.1,6.1,0.0,0.0,15.9,4.19
1999-05-22,20.6,10.6,22.2,8.8,0.0,0.0,15.6,3.76
1999-05-23,23.5,13.3,25.9,12.4,1.1,1.1,11.9,3.72
1999-05-24,22.3,14.4,24.9,14.5,3.1,3.1,17.0,3.09
1999-05-25,16.9,13.5,17.5,13.6,4.8,4.8,14.5,2.29
1999-05-26,15.3,12.6,15.6,11.9,4.5,4.5,7.5,1.57
1999-05-27,19.2,11.3,20.7,10.4,0.0,0.0,10.1,4.05
1999-05-28,19.3,11.0,21.4,11.0,0.0,0.0,8.5,4.17
1999-05-29,18.5,11.0,20.7,10.5,0.4,0.4,10.1,4.08
1999-05-30,16.8,12.9,16.8,12.8,1.8,1.8,13.4,1.82
1999-05-31,19.5,10.8,21.0,10.2,0.6,0.6,13.3,4.02
1999-06-01,17.6,13.4,18.6,13.8,3.7,3.7,9.4,2.36
1999-06-02,20.1,12.2,22.7,12.3,0.0,0.0,9.3,4.35
1999-06-03,18.3,13.4,19.8,13.7,0.1,0.1,11.3,3.22
1999-06-04,18.8,13.4,20.3,13.4,0.1,0.1,9.4,3.6
1999-06-05,18.4,14.4,19.6,14.8,2.9,2.9,11.7,2.93
1999-06-06,19.6,16.1,21.9,17.0,2.5,2.5,10.4,3.26
1999-06-07,17.6,15.8,18.8,16.5,24.8,24.8,8.7,0.91
1999-06-08,19.1,15.5,20.3,16.2,1.3,1.3,7.5,2.39
1999-06-09,20.1,16.2,21.7,17.5,2.7,2.7,10.7,2.67
1999-06-10,19.7,16.3,21.3,17.5,4.1,4.1,12.3,2.26
1999-06-11,19.9,16.7,21.4,17.8,7.2,7.2,11.6,1.93
1999-06-12,21.2,16.7,22.7,18.1,2.1,2.1,11.3,2.61
