date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2004-01-01,12.0,3.5,9.2,-1.1,0.0,0.0,17.6,1.81
2004-01-02,12.6,5.7,9.9,0.5,0.0,0.0,17.7,1.9
2004-01-03,13.5,7.3,10.9,3.2,0.0,0.0,15.8,1.77
2004-01-04,12.6,7.1,9.6,3.1,1.1,1.1,15.5,1.3
2004-01-05,13.6,7.1,12.3,5.1,6.5,6.5,17.6,0.85
2004-01-06,12.7,3.4,9.6,-2.2,0.7,0.5,31.2,1.22
2004-01-07,3.2,-1.0,-1.9,-6.6,22.8,6.3,22.9,0.45
2004-01-08,1.0,-6.5,-4.3,-11.4,4.2,0.6,25.6,0.86
2004-01-09,0.2,-8.0,-3.3,-12.5,0.4,0.0,13.4,0.65
2004-01-10,-0.5,-7.3,-4.6,-12.4,0.0,0.0,15.7,0.86
2004-01-11,4.2,-1.6,1.3,-6.2,0.0,0.0,13.0,1.0
2004-01-12,7.4,1.3,5.4,-1.8,0.0,0.0,8.4,0.77
2004-01-13,6.7,-0.4,4.6,-3.7,0.0,0.0,6.5,0.68
2004-01-14,7.4,-0.4,4.7,-3.6,0.0,0.0,17.1,1.09
2004-01-15,13.1,5.5,10.4,0.9,0.6,0.6,19.2,1.64
2004-01-16,15.6,3.8,12.7,0.2,8.3,6.1,22.0,1.99
2004-01-17,5.6,-1.7,3.0,-5.3,9.8,5.3,14.2,0.56
2004-01-18,8.4,-0.2,5.5,-4.4,0.0,0.0,12.4,1.25
2004-01-19,9.5,-0.4,6.7,-4.2,0.0,0.0,10.3,1.25
2004-01-20,10.4,0.9,8.1,-3.3,0.0,0.0,15.6,1.64
2004-01-21,9.7,3.4,4.7,-1.8,0.0,0.0,20.5,2.08
2004-01-22,13.2,7.8,10.2,4.0,0.2,0.2,18.9,1.76
2004-01-23,11.0,2.6,8.6,-1.0,12.2,6.3,26.7,0.8
2004-01-24,2.4,0.7,-0.9,-3.3,23.2,5.8,14.7,0.35
2004-01-25,5.3,-0.6,1.2,-3.6,0.6,0.1,16.6,0.92
2004-01-26,6.9,1.4,4.6,-1.5,0.0,0.0,10.1,0.7
2004-01-27,4.7,2.2,2.1,-1.0,4.5,4.5,11.6,0.45
2004-01-28,7.9,-0.2,5.1,-3.9,0.0,0.0,12.7,1.44
2004-01-29,13.6,6.2,11.2,1.8,0.0,0.0,17.3,2.11
2004-01-30,13.1,6.7,10.9,2.5,0.0,0.0,14.2,1.85
2004-01-31,7.9,3.9,5.2,0.1,5.8,4.8,15.3,0.64
2004-02-01,4.6,1.2,1.0,-1.5,5.2,3.1,13.7,0.66
2004-02-02,8.6,1.2,5.6,-1.8,0.0,0.0,8.9,1.37
2004-02-03,7.9,2.0,5.3,-0.5,0.4,0.4,11.6,1.0
2004-02-04,4.6,1.4,1.5,-1.0,8.7,6.2,13.7,0.44
2004-02-05,7.1,0.6,4.0,-1.8,0.3,0.0,10.9,1.06
2004-02-06,9.5,4.7,5.5,0.0,12.5,12.5,21.9,0.95
2004-02-07,13.6,5.9,10.7,2.6,3.0,3.0,19.9,1.65
2004-02-08,19.0,5.4,16.2,3.4,0.0,0.0,24.4,2.76
2004-02-09,14.5,4.9,11.7,2.3,0.0,0.0,15.9,1.8
2004-02-10,8.3,2.9,4.5,0.7,8.7,6.6,19.3,0.7
2004-02-11,2.7,-3.8,0.1,-8.2,5.4,1.5,12.5,0.81
2004-02-12,8.4,-2.5,5.0,-7.2,0.0,0.0,15.3,1.62
2004-02-13,13.7,0.7,10.8,-4.6,1.9,1.0,26.8,1.9
2004-02-14,0.4,-2.4,-4.2,-7.8,16.7,1.0,18.2,0.62
2004-02-15,-0.7,-4.0,-5.3,-10.0,11.0,0.0,23.5,1.07
2004-02-16,3.3,-4.0,-0.9,-8.2,0.6,0.1,23.0,1.44
2004-02-17,3.8,-7.3,0.9,-11.2,0.0,0.0,12.3,1.29
2004-02-18,2.7,-7.9,0.1,-11.9,0.0,0.0,9.6,1.26
2004-02-19,5.7,-4.5,3.5,-8.8,0.0,0.0,9.5,1.27
2004-02-20,5.1,-1.4,2.4,-4.1,3.3,2.9,17.4,1.15
2004-02-21,0.2,-4.3,-5.8,-9.4,12.3,1.5,34.0,1.01
2004-02-22,0.9,-4.4,-4.4,-9.0,13.8,2.7,23.0,0.61
