date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2015-01-01,8.5,5.5,6.1,2.6,12.5,12.5,13.2,0.34
2015-01-02,5.3,3.4,2.2,0.3,7.3,6.5,13.4,0.41
2015-01-03,8.6,2.7,6.3,-0.1,0.7,0.7,12.4,0.82
2015-01-04,7.6,4.7,5.2,1.3,1.8,1.8,14.9,0.94
2015-01-05,10.0,2.9,7.1,-0.1,16.9,8.3,16.8,0.38
2015-01-06,5.6,2.7,2.8,-1.6,25.4,13.4,17.7,0.41
2015-01-07,2.5,-1.7,-0.9,-7.0,25.6,9.6,21.5,0.39
2015-01-08,-1.9,-5.2,-7.4,-10.9,12.2,0.4,26.3,0.58
2015-01-09,-1.8,-10.2,-5.5,-14.8,1.9,0.0,17.7,0.69
2015-01-10,1.4,-7.1,-3.8,-12.5,0.0,0.0,22.3,1.15
2015-01-11,5.4,-0.9,-0.4,-6.8,0.5,0.5,23.8,1.63
2015-01-12,8.9,3.7,4.5,-0.7,0.3,0.3,25.2,1.68
2015-01-13,4.9,1.6,2.0,-1.7,0.0,0.0,10.9,0.52
2015-01-14,7.9,-0.6,5.6,-4.3,0.0,0.0,10.6,0.97
2015-01-15,11.4,-1.2,9.4,-5.1,0.0,0.0,9.1,1.12
2015-01-16,6.3,3.8,4.8,1.1,3.8,3.8,8.6,0.45
2015-01-17,7.5,0.9,5.5,-2.5,0.0,0.0,10.8,0.78
2015-01-18,10.5,0.2,8.6,-3.2,0.0,0.0,8.7,1.19
2015-01-19,11.9,-0.2,10.0,-3.4,0.0,0.0,8.7,1.17
2015-01-20,13.0,2.9,11.2,-1.0,0.0,0.0,10.0,1.53
2015-01-21,13.0,3.4,11.6,0.1,0.0,0.0,9.6,1.18
2015-01-22,12.3,2.6,9.9,-0.7,0.0,0.0,9.4,1.31
2015-01-23,13.8,4.1,11.4,0.5,0.0,0.0,12.9,1.73
2015-01-24,14.4,5.3,12.0,1.0,0.0,0.0,14.3,2.27
2015-01-25,14.4,4.8,12.9,1.4,0.1,0.1,12.5,1.87
2015-01-26,13.2,4.6,11.8,2.1,0.0,0.0,11.1,1.31
2015-01-27,12.2,4.2,9.9,2.0,0.0,0.0,12.3,1.48
2015-01-28,11.9,4.7,10.3,1.4,0.0,0.0,11.4,1.04
2015-01-29,12.1,3.6,9.2,0.5,0.2,0.2,12.8,1.49
2015-01-30,14.1,5.8,11.1,1.4,0.0,0.0,18.0,2.4
2015-01-31,14.4,8.7,9.7,4.3,0.0,0.0,24.1,2.91
2015-02-01,18.1,12.8,14.8,8.3,0.0,0.0,23.1,3.47
2015-02-02,18.9,11.2,15.2,7.7,0.0,0.0,20.9,3.67
2015-02-03,14.6,8.0,12.4,5.6,6.3,6.3,15.5,1.58
2015-02-04,8.3,3.9,6.4,0.7,5.9,5.9,12.3,0.66
