date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2009-01-01,2.1,-2.5,-3.2,-8.1,6.4,2.6,20.5,0.93
2009-01-02,4.4,-1.1,0.5,-6.7,0.0,0.0,18.8,1.33
2009-01-03,8.8,0.7,5.9,-4.1,0.3,0.2,13.1,0.93
2009-01-04,6.1,3.0,2.7,0.0,4.0,3.2,13.5,0.49
2009-01-05,10.3,4.6,8.6,2.0,15.4,15.4,17.6,0.69
2009-01-06,6.7,4.2,3.7,1.3,9.8,9.6,14.2,0.37
2009-01-07,3.9,1.3,1.0,-2.4,13.3,6.7,15.0,0.29
2009-01-08,6.9,-1.4,3.3,-4.5,0.0,0.0,12.1,0.89
2009-01-09,2.0,-6.0,-3.0,-10.0,7.7,2.8,25.6,0.45
2009-01-10,5.1,-6.5,1.9,-10.6,0.0,0.0,11.4,0.98
2009-01-11,3.5,-3.8,-2.6,-8.3,5.7,4.4,28.2,0.82
2009-01-12,3.4,-2.7,0.5,-6.2,0.6,0.3,13.6,0.62
2009-01-13,5.6,-3.6,2.4,-7.4,0.0,0.0,12.5,0.96
2009-01-14,10.8,-0.7,7.7,-5.2,0.0,0.0,12.9,1.35
2009-01-15,14.0,1.3,11.6,-2.4,0.0,0.0,8.4,1.34
2009-01-16,14.0,2.8,12.3,-0.6,0.3,0.3,9.4,1.45
2009-01-17,10.5,2.8,8.4,-0.6,19.4,14.2,20.7,0.61
2009-01-18,4.6,1.3,1.9,-2.6,3.8,1.6,12.1,0.76
2009-01-19,11.0,0.5,8.2,-3.2,0.0,0.0,10.1,1.31
2009-01-20,12.0,1.3,10.2,-2.2,0.0,0.0,8.9,1.29
2009-01-21,11.4,1.9,8.5,-1.1,0.0,0.0,12.9,1.32
2009-01-22,14.0,2.9,11.3,-0.7,0.0,0.0,12.1,1.94
2009-01-23,15.7,5.6,13.5,1.2,0.0,0.0,16.1,2.69
2009-01-24,16.2,7.7,13.6,4.1,0.0,0.0,21.2,2.5
2009-01-25,14.2,8.5,10.7,5.6,3.5,3.5,18.1,2.02
2009-01-26,13.4,8.5,11.5,6.0,0.6,0.6,12.6,1.29
2009-01-27,13.2,8.5,11.1,5.5,0.1,0.1,13.4,1.84
2009-01-28,14.6,7.7,12.2,4.2,0.0,0.0,14.1,1.96
2009-01-29,15.0,6.2,13.1,3.6,0.1,0.1,14.0,1.5
2009-01-30,10.9,6.7,9.2,5.2,2.2,2.2,10.3,0.93
