date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2017-01-01,8.5,0.7,5.7,-3.0,0.0,0.0,12.7,0.82
2017-01-02,8.2,0.6,5.0,-3.7,0.0,0.0,11.2,1.23
2017-01-03,10.5,1.7,7.6,-2.1,0.0,0.0,9.4,1.16
2017-01-04,11.0,2.3,8.5,-1.4,0.0,0.0,10.0,1.34
2017-01-05,13.3,5.0,10.7,0.4,0.2,0.2,18.4,1.66
2017-01-06,17.5,11.2,16.5,8.4,0.0,0.0,13.1,1.81
2017-01-07,15.3,6.5,13.2,2.6,0.1,0.1,25.5,1.56
2017-01-08,6.5,2.5,3.5,-0.7,21.7,13.3,12.8,0.29
2017-01-09,3.2,0.7,0.2,-2.4,16.9,4.8,9.8,0.37
2017-01-10,6.7,-0.9,3.6,-4.8,0.0,0.0,12.4,0.86
2017-01-11,12.6,2.9,11.0,-1.4,0.0,0.0,13.0,1.14
2017-01-12,11.7,2.1,9.5,-1.9,6.0,6.0,24.8,1.44
2017-01-13,7.4,-1.1,4.4,-5.2,5.1,5.0,9.9,0.93
2017-01-14,8.8,-0.1,6.2,-3.7,0.0,0.0,10.9,1.16
2017-01-15,12.8,3.8,10.9,0.0,0.0,0.0,12.0,1.54
2017-01-16,10.0,3.7,7.5,1.0,0.8,0.8,8.2,1.14
2017-01-17,14.4,5.2,13.3,2.1,0.2,0.2,10.2,1.26
2017-01-18,11.9,5.8,9.8,3.4,0.3,0.3,8.1,0.97
2017-01-19,8.1,5.2,4.9,2.2,8.9,8.9,19.3,0.52
2017-01-20,6.1,2.8,2.6,-0.7,2.9,2.9,16.1,0.52
2017-01-21,5.3,-0.7,2.1,-5.2,0.0,0.0,10.2,0.85
2017-01-22,7.5,-0.1,3.8,-4.4,0.0,0.0,11.0,1.32
2017-01-23,7.5,-0.9,4.4,-4.0,0.0,0.0,10.9,1.02
2017-01-24,9.5,-0.9,6.3,-4.7,0.2,0.2,8.2,1.42
2017-01-25,8.0,4.0,6.0,1.1,6.5,6.5,12.1,0.76
2017-01-26,4.5,0.4,1.6,-3.5,20.6,8.0,15.8,0.41
2017-01-27,1.6,-3.2,-2.1,-7.3,14.9,0.2,12.4,0.65
2017-01-28,0.6,-2.6,-2.5,-7.1,12.6,0.3,13.5,0.82
2017-01-29,4.0,-2.1,0.1,-6.3,4.2,0.7,20.0,0.97
2017-01-30,0.5,-2.0,-2.5,-6.6,17.9,0.1,12.9,0.58
2017-01-31,-0.1,-2.4,-5.6,-8.2,5.6,0.1,19.3,1.31
2017-02-01,1.1,-4.7,-3.8,-10.6,5.4,0.0,18.2,1.01
2017-02-02,4.8,-5.5,1.2,-11.6,0.0,0.0,17.8,1.55
2017-02-03,7.3,-2.2,4.0,-6.8,0.0,0.0,10.2,1.57
2017-02-04,10.2,1.0,7.8,-3.3,0.0,0.0,26.6,2.09
2017-02-05,14.0,7.8,11.2,3.7,0.0,0.0,23.5,2.61
2017-02-06,16.0,11.3,12.2,5.9,4.2,4.2,27.0,3.27
2017-02-07,18.5,9.2,16.6,5.4,0.0,0.0,22.3,2.88
2017-02-08,15.2,6.3,14.0,3.8,0.0,0.0,10.0,1.88
2017-02-09,9.7,4.0,7.2,0.8,0.2,0.2,16.5,1.03
2017-02-10,6.2,3.6,1.8,-0.5,0.4,0.4,16.6,0.92
