date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2007-01-01,7.1,-3.0,3.8,-6.8,0.0,0.0,13.9,0.97
2007-01-02,6.4,1.3,3.5,-3.6,0.0,0.0,16.2,1.11
2007-01-03,10.5,4.0,5.8,-0.3,0.0,0.0,22.7,2.31
2007-01-04,12.6,6.3,10.0,3.9,2.9,2.9,14.6,1.14
2007-01-05,7.5,4.8,4.8,2.5,12.9,12.7,12.8,0.36
2007-01-06,5.6,3.4,2.7,1.1,8.5,7.9,12.3,0.42
2007-01-07,6.0,1.1,3.7,-1.9,0.1,0.1,7.2,0.55
2007-01-08,9.5,1.9,6.4,-1.7,0.3,0.3,14.5,1.47
2007-01-09,10.6,3.4,8.0,-1.0,0.0,0.0,14.8,1.39
2007-01-10,10.6,2.8,7.5,-1.1,0.0,0.0,14.5,1.22
2007-01-11,10.0,1.7,7.6,-1.1,0.0,0.0,12.4,1.27
2007-01-12,11.9,2.9,9.3,-1.6,0.0,0.0,13.8,1.98
2007-01-13,11.7,3.8,9.1,-0.7,0.0,0.0,13.7,1.67
2007-01-14,11.5,4.6,7.1,2.1,1.5,1.5,20.9,1.3
2007-01-15,11.5,3.9,9.6,1.1,2.0,2.0,20.5,0.99
2007-01-16,9.2,3.4,3.8,-0.5,5.2,5.2,23.7,1.21
2007-01-17,11.7,2.4,8.5,-0.9,0.0,0.0,12.0,1.35
2007-01-18,12.7,1.6,10.3,-2.0,0.0,0.0,10.2,1.49
2007-01-19,14.1,2.4,10.6,-1.4,0.0,0.0,26.6,2.73
2007-01-20,11.7,3.5,7.5,0.1,19.5,16.2,23.2,0.7
2007-01-21,8.2,2.0,4.6,-1.6,0.6,0.6,13.7,1.26
2007-01-22,13.9,3.6,12.1,-0.9,0.0,0.0,12.6,1.85
2007-01-23,15.2,5.4,13.5,1.6,0.0,0.0,12.0,2.07
2007-01-24,17.6,8.6,15.3,4.4,0.0,0.0,18.0,2.82
2007-01-25,17.2,8.8,14.8,3.7,0.0,0.0,19.5,2.89
2007-01-26,17.1,8.1,14.8,3.9,0.0,0.0,16.3,2.23
2007-01-27,17.9,6.4,13.2,3.6,0.0,0.0,23.4,2.9
2007-01-28,11.5,0.3,8.5,-5.5,24.2,11.5,29.2,0.75
2007-01-29,2.8,-4.6,-0.5,-9.2,1.0,1.0,22.1,1.5
2007-01-30,7.2,-0.5,1.9,-4.7,11.1,3.5,26.6,1.39
2007-01-31,3.1,-3.5,-2.5,-8.0,8.1,3.0,32.4,1.03
2007-02-01,4.6,-6.4,0.5,-11.1,0.0,0.0,19.4,1.4
2007-02-02,7.2,1.7,3.7,-4.9,7.9,3.1,25.7,1.46
2007-02-03,3.1,2.2,0.5,-0.7,10.9,3.1,9.8,0.54
2007-02-04,3.1,2.1,0.2,-1.1,12.2,4.4,9.4,0.45
2007-02-05,2.8,1.8,0.0,-1.1,14.3,3.0,9.4,0.55
2007-02-06,2.7,1.8,0.5,-1.2,10.0,3.5,10.2,0.59
2007-02-07,5.6,-1.6,2.7,-5.5,0.0,0.0,11.8,1.25
2007-02-08,9.4,-2.7,7.5,-7.2,0.0,0.0,11.3,1.27
2007-02-09,10.8,-3.1,8.6,-7.4,0.0,0.0,10.9,1.52
2007-02-10,10.6,-1.9,8.4,-5.7,0.0,0.0,8.5,1.48
2007-02-11,12.8,-1.7,10.5,-5.7,0.0,0.0,9.3,1.76
2007-02-12,13.2,2.1,11.7,-2.0,0.0,0.0,14.1,2.22
2007-02-13,13.3,4.9,11.5,0.5,0.0,0.0,14.0,2.2
2007-02-14,12.7,4.8,10.0,0.1,0.0,0.0,16.2,2.4
2007-02-15,11.3,6.4,9.7,3.9,5.2,5.2,11.3,0.83
