date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2006-01-01,9.3,3.8,6.4,0.8,0.2,0.2,13.7,0.84
2006-01-02,11.7,2.2,9.6,-0.8,0.0,0.0,8.2,1.01
2006-01-03,12.9,2.6,11.4,-0.6,0.0,0.0,13.0,1.27
2006-01-04,13.3,4.3,11.7,0.7,0.0,0.0,9.4,1.25
2006-01-05,13.6,3.0,12.0,-0.3,0.0,0.0,9.3,0.98
2006-01-06,14.3,5.8,12.9,3.4,1.4,1.4,7.3,1.04
2006-01-07,8.4,5.4,6.5,2.1,12.1,12.1,14.3,0.31
2006-01-08,5.2,2.3,1.8,-2.9,7.4,6.4,22.0,0.51
2006-01-09,3.1,1.4,-1.5,-3.2,5.6,2.5,21.0,0.58
2006-01-10,3.2,0.5,-0.3,-3.1,4.8,1.3,9.7,0.54
2006-01-11,4.9,2.1,2.6,-1.6,4.7,3.3,13.4,0.55
2006-01-12,5.4,2.0,2.5,-0.9,0.1,0.1,9.8,0.58
2006-01-13,5.0,2.9,1.9,-0.5,5.9,4.3,11.5,0.53
2006-01-14,3.7,1.5,-0.4,-2.7,4.5,2.7,16.8,0.57
2006-01-15,3.3,0.3,-1.3,-3.4,2.5,1.4,17.1,0.63
2006-01-16,5.0,1.3,1.9,-1.8,0.0,0.0,10.6,0.64
2006-01-17,5.2,1.8,1.8,-1.7,0.5,0.1,11.5,0.66
2006-01-18,7.0,-1.0,3.8,-4.3,0.0,0.0,14.8,1.21
2006-01-19,10.3,2.2,4.9,-3.0,2.5,2.5,20.2,2.11
2006-01-20,6.2,-1.6,3.2,-7.0,28.2,10.4,22.4,0.52
2006-01-21,1.0,-5.8,-2.6,-11.4,3.9,0.8,24.0,0.92
2006-01-22,8.1,-1.6,5.7,-6.3,0.0,0.0,13.6,1.07
2006-01-23,2.4,-3.3,-1.4,-7.7,17.9,1.2,20.2,0.31
2006-01-24,-2.8,-3.9,-7.0,-7.9,5.8,0.0,9.8,0.4
2006-01-25,1.9,-3.6,-0.7,-7.4,4.0,1.8,15.5,0.44
2006-01-26,2.9,1.2,-0.9,-2.6,7.9,3.7,13.6,0.45
2006-01-27,2.3,-0.1,-0.9,-3.5,6.1,2.0,12.0,0.53
2006-01-28,2.8,-3.3,-1.5,-7.2,3.4,1.5,13.1,0.75
2006-01-29,3.8,-4.2,0.2,-8.6,0.0,0.0,12.4,1.12
2006-01-30,4.1,-5.3,-0.8,-10.2,0.0,0.0,16.9,1.36
2006-01-31,5.4,-2.5,0.4,-8.0,0.0,0.0,20.1,1.66
2006-02-01,4.8,-1.4,2.7,-5.3,0.0,0.0,16.3,0.85
2006-02-02,6.3,-1.7,3.8,-5.7,0.0,0.0,11.5,0.69
2006-02-03,6.1,3.0,4.3,0.8,0.0,0.0,7.9,0.79
2006-02-04,7.2,-1.7,4.9,-5.8,0.0,0.0,10.4,1.21
2006-02-05,8.0,-1.9,5.4,-5.9,0.0,0.0,12.6,1.23
2006-02-06,8.3,1.4,5.3,-2.1,0.0,0.0,16.6,0.9
2006-02-07,5.6,0.9,1.3,-2.1,3.2,1.7,19.8,0.55
2006-02-08,6.6,1.7,3.1,-1.6,2.6,2.0,15.1,0.63
2006-02-09,4.5,2.4,1.6,-1.8,16.2,8.7,20.3,0.67
2006-02-10,10.2,2.0,6.5,-2.2,0.0,0.0,14.5,1.74
2006-02-11,14.1,2.4,11.2,-0.6,4.7,4.0,26.6,1.7
2006-02-12,4.2,0.6,0.4,-3.5,13.0,5.3,15.5,0.57
2006-02-13,1.5,0.2,-1.4,-3.3,14.8,2.9,10.6,0.6
2006-02-14,2.3,0.5,-0.3,-3.2,4.0,0.2,11.6,0.85
2006-02-15,0.5,-1.0,-2.9,-6.5,21.3,5.2,20.6,0.45
2006-02-16,0.7,-9.2,-4.3,-14.5,2.4,0.5,17.5,1.2
2006-02-17,2.8,-9.3,-0.8,-14.6,0.0,0.0,15.3,1.44
2006-02-18,6.8,-0.9,4.1,-4.9,4.3,4.3,15.2,1.55
2006-02-19,8.2,1.7,6.6,-1.8,0.7,0.7,13.3,1.57
2006-02-20,9.7,0.1,8.4,-2.7,0.0,0.0,9.9,1.45
2006-02-21,9.6,-4.1,7.7,-7.5,0.0,0.0,5.4,1.78
2006-02-22,11.8,-4.8,10.0,-8.3,0.0,0.0,8.8,1.92
2006-02-23,12.6,-0.6,10.5,-4.2,0.0,0.0,8.3,1.93
2006-02-24,12.8,-0.0,10.4,-3.1,0.1,0.1,12.0,2.18
2006-02-25,15.5,4.2,13.5,1.1,0.0,0.0,14.8,2.3
2006-02-26,13.8,6.1,11.4,3.8,0.2,0.2,11.8,1.95
2006-02-27,13.7,5.3,11.7,3.6,0.5,0.5,14.1,2.16
2006-02-28,13.3,4.7,11.1,2.4,0.0,0.0,14.7,2.35
2006-03-01,17.7,6.9,15.5,5.2,2.3,2.3,15.8,2.15
2006-03-02,12.4,6.5,10.9,3.7,1.6,1.6,13.3,1.81
2006-03-03,18.9,3.7,16.6,0.7,19.7,18.9,25.8,2.43
2006-03-04,10.2,3.3,6.3,0.8,0.2,0.2,20.3,2.18
2006-03-05,16.6,5.6,14.9,1.8,0.0,0.0,17.6,3.32
2006-03-06,19.9,9.5,18.6,6.2,0.0,0.0,18.8,3.82
2006-03-07,20.2,10.8,19.3,7.7,0.0,0.0,14.6,3.56
2006-03-08,16.7,6.5,13.9,3.6,5.3,5.3,17.8,2.32
2006-03-09,7.0,2.6,4.2,-1.1,10.3,5.7,19.3,0.65
2006-03-10,5.4,1.4,1.9,-1.9,2.0,0.8,14.9,1.44
2006-03-11,14.9,3.2,11.7,-0.7,0.0,0.0,15.5,3.38
2006-03-12,15.7,8.1,13.4,4.1,0.0,0.0,14.2,2.94
2006-03-13,17.7,8.1,15.1,4.7,0.0,0.0,15.5,3.48
2006-03-14,18.5,8.5,16.5,5.2,6.1,6.1,13.8,3.49
2006-03-15,10.4,5.4,8.2,4.0,9.9,9.9,16.7,0.79
2006-03-16,9.5,5.5,6.6,3.7,2.2,2.2,15.5,1.31
2006-03-17,7.5,5.4,5.3,3.2,12.0,12.0,9.8,0.81
2006-03-18,9.5,5.7,7.1,3.7,6.0,6.0,15.0,1.49
2006-03-19,5.8,3.7,3.7,0.6,18.4,17.6,17.1,0.52
2006-03-20,9.7,1.6,7.3,-0.5,0.5,0.5,14.6,1.94
2006-03-21,13.0,4.3,12.0,1.1,2.0,2.0,12.5,2.45
2006-03-22,13.9,5.5,12.5,3.1,0.0,0.0,11.5,2.33
2006-03-23,19.3,7.0,17.9,4.1,0.0,0.0,24.4,4.17
2006-03-24,17.4,7.3,17.5,4.8,14.5,14.5,25.2,2.97
2006-03-25,7.0,4.1,4.5,0.3,17.3,17.0,16.0,0.49
2006-03-26,8.0,4.5,5.2,0.8,0.4,0.4,14.7,1.15
2006-03-27,10.0,3.9,7.8,1.3,0.0,0.0,13.3,1.77
2006-03-28,11.9,2.6,10.8,-0.3,0.0,0.0,15.0,2.5
2006-03-29,15.3,2.3,13.5,-0.6,0.0,0.0,15.5,3.21
2006-03-30,18.3,7.9,17.3,5.7,0.0,0.0,16.5,3.14
2006-03-31,11.0,7.2,9.6,5.0,2.3,2.3,8.7,1.7
2006-04-01,15.1,7.2,14.4,4.7,16.1,16.1,15.1,2.35
2006-04-02,9.3,8.1,7.7,5.5,18.0,18.0,11.3,0.74
2006-04-03,9.1,7.5,7.6,6.0,5.0,5.0,11.4,0.87
2006-04-04,12.6,7.1,11.7,5.8,0.0,0.0,15.7,2.36
2006-04-05,9.9,6.8,7.7,4.9,0.2,0.2,14.1,1.28
2006-04-06,13.8,7.2,12.5,5.3,0.0,0.0,17.5,2.74
2006-04-07,18.3,7.2,17.8,4.7,0.2,0.2,12.3,3.16
2006-04-08,20.3,9.5,20.6,8.4,2.4,2.4,13.3,2.76
2006-04-09,11.8,9.1,9.6,7.7,1.1,1.1,15.8,1.5
2006-04-10,11.4,9.2,9.6,7.6,1.5,1.5,13.4,1.3
2006-04-11,13.7,8.1,13.3,6.6,1.9,1.9,15.1,2.01
2006-04-12,21.5,8.1,21.2,6.0,0.0,0.0,18.2,4.24
2006-04-13,17.2,10.8,18.4,10.0,0.2,0.2,18.8,3.61
2006-04-14,17.4,11.0,18.2,10.1,3.4,3.4,12.7,2.63
2006-04-15,13.5,9.9,14.0,8.6,16.9,16.9,12.9,0.93
2006-04-16,13.1,7.5,12.5,5.6,3.6,3.6,9.5,2.37
2006-04-17,15.4,7.2,15.2,5.6,0.0,0.0,13.6,2.83
2006-04-18,14.2,9.7,14.2,8.7,0.0,0.0,11.2,3.01
2006-04-19,16.3,7.4,16.5,5.9,0.0,0.0,13.8,3.17
2006-04-20,21.1,12.6,22.7,11.9,7.2,7.2,18.1,3.33
2006-04-21,14.9,10.1,14.8,9.3,2.2,2.2,13.2,2.5
2006-04-22,13.2,9.7,12.7,8.8,0.0,0.0,11.5,2.24
2006-04-23,13.8,9.4,13.0,7.9,4.0,4.0,12.4,2.05
2006-04-24,10.6,8.4,9.1,5.5,19.1,19.1,15.6,0.63
2006-04-25,9.4,5.5,6.6,2.0,7.8,7.8,14.2,1.96
2006-04-26,9.4,4.9,7.2,1.6,2.8,2.8,12.8,2.57
2006-04-27,10.9,3.0,9.8,0.5,0.2,0.2,8.2,2.67
2006-04-28,12.6,7.1,11.5,4.8,0.0,0.0,17.4,2.85
2006-04-29,14.8,7.9,13.4,5.8,7.5,7.5,15.3,2.08
2006-04-30,12.3,9.2,11.3,8.2,4.1,4.1,9.5,1.7
2006-05-01,14.0,9.0,13.3,8.2,2.9,2.9,11.6,1.84
2006-05-02,12.4,9.6,11.4,8.4,9.5,9.5,11.9,1.29
2006-05-03,11.3,8.4,9.4,6.2,1.4,1.4,13.0,1.71
2006-05-04,11.6,8.1,10.1,6.0,0.0,0.0,11.2,2.25
2006-05-05,13.6,9.0,12.9,8.3,6.0,6.0,13.0,1.9
2006-05-06,14.3,8.8,14.2,7.8,0.7,0.7,12.0,2.23
2006-05-07,13.5,9.9,12.4,8.9,2.0,2.0,13.2,1.9
2006-05-08,13.4,10.0,12.6,8.8,0.4,0.4,9.9,1.91
2006-05-09,15.6,10.0,16.0,9.1,8.2,8.2,12.1,2.28
2006-05-10,16.2,10.0,17.0,8.9,0.0,0.0,11.6,3.4
2006-05-11,20.3,10.7,21.0,8.8,5.7,5.7,12.1,3.64
2006-05-12,18.4,11.5,20.1,11.2,12.2,12.2,12.0,3.14
2006-05-13,15.0,10.5,14.8,9.8,10.0,10.0,13.1,2.05
2006-05-14,14.0,8.6,13.1,7.4,2.7,2.7,11.2,2.42
2006-05-15,16.4,8.3,17.4,7.0,0.0,0.0,12.9,3.65
2006-05-16,15.1,10.8,15.4,9.8,2.3,2.3,13.7,2.53
