date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2019-01-01,8.4,0.1,4.8,-4.1,0.0,0.0,12.6,1.14
2019-01-02,11.7,4.6,9.7,2.0,0.0,0.0,6.6,0.85
2019-01-03,14.0,5.2,12.7,3.1,0.1,0.1,9.2,1.07
2019-01-04,14.5,6.4,12.1,4.6,8.1,8.1,18.5,1.18
2019-01-05,6.8,4.3,4.3,2.1,8.2,7.6,13.7,0.52
2019-01-06,9.3,4.6,7.1,0.5,11.7,11.7,22.7,0.56
2019-01-07,7.8,0.3,5.0,-3.3,2.0,2.0,18.9,0.99
2019-01-08,6.7,0.6,3.2,-3.1,24.4,4.0,18.3,0.66
2019-01-09,4.2,-4.0,1.2,-8.0,8.3,0.5,17.4,0.69
2019-01-10,10.4,-2.5,7.3,-6.5,0.0,0.0,19.8,1.51
2019-01-11,15.2,4.7,14.4,1.1,0.0,0.0,14.6,1.79
2019-01-12,10.3,5.3,8.0,2.1,0.0,0.0,10.4,1.06
2019-01-13,10.9,3.7,7.7,1.6,1.0,1.0,11.9,0.76
2019-01-14,13.2,4.0,11.2,1.4,0.0,0.0,11.7,1.48
2019-01-15,13.3,7.7,12.2,4.9,1.6,1.6,11.4,0.98
2019-01-16,11.6,1.6,7.7,-1.7,30.5,11.6,36.2,0.42
2019-01-17,6.5,2.2,2.1,-1.2,1.9,1.1,17.2,1.06
2019-01-18,9.2,1.2,5.9,-3.1,0.0,0.0,11.2,1.44
2019-01-19,10.4,1.6,8.2,-2.4,0.0,0.0,10.0,1.34
2019-01-20,11.0,3.3,8.8,-1.0,0.0,0.0,12.3,1.76
2019-01-21,14.4,4.5,13.0,0.7,0.0,0.0,10.1,1.75
2019-01-22,9.4,3.2,6.8,0.7,0.3,0.3,12.1,0.83
2019-01-23,14.7,2.9,12.4,0.3,0.0,0.0,8.1,1.45
2019-01-24,15.2,5.9,12.1,2.3,0.1,0.1,12.4,1.66
2019-01-25,16.5,8.8,15.2,6.5,0.0,0.0,10.3,1.53
2019-01-26,15.8,9.4,14.1,6.9,0.2,0.2,10.2,1.4
2019-01-27,16.5,7.6,15.1,5.3,0.0,0.0,12.3,1.55
2019-01-28,10.5,4.5,8.7,1.9,0.0,0.0,10.9,1.01
2019-01-29,14.6,4.4,13.6,1.1,0.0,0.0,12.3,1.71
2019-01-30,15.5,4.9,13.5,1.6,0.0,0.0,6.2,1.69
2019-01-31,16.3,10.3,14.3,7.7,0.0,0.0,11.5,1.97
2019-02-01,14.7,7.0,12.3,5.0,0.6,0.6,12.2,1.04
2019-02-02,12.4,5.8,10.1,2.4,1.4,1.4,17.0,1.16
2019-02-03,13.9,5.2,11.7,1.8,0.0,0.0,10.3,1.86
2019-02-04,14.1,5.1,12.2,1.8,0.0,0.0,7.3,1.71
2019-02-05,15.5,5.9,13.3,2.2,0.0,0.0,10.5,2.15
2019-02-06,16.7,6.1,15.3,2.4,0.8,0.8,10.7,1.58
2019-02-07,11.3,7.4,10.0,5.8,4.8,4.8,8.4,0.65
2019-02-08,10.1,6.8,8.5,4.7,0.7,0.7,8.7,0.97
2019-02-09,8.9,7.7,6.9,6.0,1.7,1.7,9.2,0.48
2019-02-10,8.5,6.9,6.5,4.7,2.7,2.7,10.5,0.48
2019-02-11,11.1,4.6,7.9,2.6,0.1,0.1,16.0,1.49
2019-02-12,17.5,5.8,16.0,2.3,0.0,0.0,14.8,2.44
2019-02-13,11.2,6.4,9.5,4.6,0.0,0.0,17.1,1.78
2019-02-14,8.9,6.1,6.7,3.1,1.5,1.5,12.9,0.66
2019-02-15,7.5,6.0,4.4,3.0,4.7,4.7,14.7,0.52
2019-02-16,7.2,4.0,3.4,1.1,2.3,2.3,18.9,0.67
2019-02-17,8.4,2.0,5.1,-1.1,0.0,0.0,12.1,1.47
2019-02-18,12.6,2.1,10.1,-1.0,1.4,1.4,18.8,1.94
2019-02-19,8.8,1.8,6.0,-0.9,1.6,1.6,10.5,1.06
2019-02-20,11.2,1.7,8.0,-1.3,0.0,0.0,12.8,1.96
2019-02-21,13.6,4.8,10.9,2.4,0.4,0.4,13.0,1.98
2019-02-22,9.9,4.8,7.2,2.4,0.0,0.0,16.2,1.44
2019-02-23,14.5,7.8,13.4,5.0,0.3,0.3,25.5,2.25
2019-02-24,7.4,5.5,5.0,3.0,2.8,2.8,11.6,0.46
2019-02-25,6.7,3.0,4.2,0.8,1.0,1.0,8.7,0.61
2019-02-26,8.6,2.1,6.6,-0.6,0.2,0.2,12.7,1.32
2019-02-27,7.0,4.1,4.7,0.1,6.6,6.6,13.6,0.69
2019-02-28,5.9,1.2,2.0,-2.9,1.1,1.1,15.9,1.2
2019-03-01,15.2,3.4,11.6,-0.8,0.6,0.6,24.7,2.66
2019-03-02,12.1,5.6,9.9,2.8,14.0,14.0,16.2,1.53
2019-03-03,6.1,4.0,3.5,1.5,5.2,5.2,11.1,0.68
2019-03-04,8.8,3.0,6.1,0.4,0.0,0.0,12.4,1.65
2019-03-05,18.6,3.5,18.0,1.0,0.0,0.0,23.9,3.54
2019-03-06,15.9,6.6,14.9,3.2,6.7,6.7,25.6,2.53
2019-03-07,10.3,3.7,7.1,-0.6,5.0,5.0,16.2,1.23
2019-03-08,12.7,3.9,10.1,-0.3,0.0,0.0,14.2,2.64
2019-03-09,16.8,5.6,15.7,1.6,0.0,0.0,17.6,3.29
