date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,et0_fao_evapotranspiration
2003-01-01,10.4,6.3,6.4,2.4,1.8,1.8,20.6,1.53
2003-01-02,11.9,6.2,9.9,3.2,3.5,3.5,12.6,0.67
2003-01-03,13.7,5.7,11.6,3.6,0.0,0.0,17.3,1.74
2003-01-04,12.4,4.9,10.4,2.6,5.5,5.5,18.1,0.84
2003-01-05,13.3,4.8,11.8,2.1,1.5,1.5,16.9,1.29
2003-01-06,17.1,8.7,13.9,5.0,1.0,1.0,21.2,2.2
2003-01-07,11.9,7.2,8.4,5.5,2.2,2.2,19.2,0.92
2003-01-08,16.9,6.9,12.9,4.7,0.0,0.0,24.8,2.07
2003-01-09,8.4,6.6,6.5,4.2,0.0,0.0,11.8,0.51
2003-01-10,15.9,7.1,12.8,4.0,0.0,0.0,21.0,2.34
2003-01-11,14.5,8.8,13.3,6.6,0.0,0.0,17.6,1.27
2003-01-12,15.2,8.6,13.2,5.0,2.1,2.1,18.4,0.94
2003-01-13,8.5,3.1,5.9,-0.1,12.0,10.7,18.4,0.36
2003-01-14,3.6,1.1,-0.1,-2.6,8.5,3.5,13.2,0.44
2003-01-15,5.5,-1.0,2.0,-5.0,2.1,1.6,14.6,0.97
2003-01-16,6.4,3.5,3.8,-1.0,3.0,2.3,16.1,0.73
2003-01-17,8.8,2.4,6.7,-2.1,5.9,5.9,14.8,0.83
2003-01-18,5.2,2.2,1.3,-0.3,12.5,10.7,20.3,0.41
2003-01-19,8.5,0.3,5.0,-3.1,0.0,0.0,12.4,1.2
2003-01-20,9.2,1.0,6.7,-3.5,0.0,0.0,13.3,1.38
2003-01-21,9.6,0.5,7.1,-3.8,0.0,0.0,13.7,1.46
2003-01-22,10.8,2.1,8.5,-1.8,0.0,0.0,12.6,1.56
2003-01-23,12.1,6.2,9.8,2.4,0.0,0.0,12.4,1.34
2003-01-24,12.9,5.2,10.8,2.2,0.2,0.2,12.3,1.35
2003-01-25,8.2,5.4,5.5,2.3,1.2,1.2,13.5,0.48
2003-01-26,6.0,3.5,3.1,1.4,2.1,2.1,12.1,0.51
2003-01-27,7.0,3.6,4.1,1.5,0.5,0.5,10.6,0.67
2003-01-28,6.1,4.9,3.8,2.4,7.4,7.4,9.9,0.54
2003-01-29,12.3,4.5,9.9,1.5,0.0,0.0,14.1,1.59
2003-01-30,16.5,10.6,13.3,6.3,0.0,0.0,24.8,3.25
2003-01-31,16.5,13.5,13.2,8.0,0.0,0.0,24.6,3.15
2003-02-01,13.9,7.1,11.1,3.8,8.1,8.1,16.1,1.42
2003-02-02,14.7,7.6,11.1,4.1,0.0,0.0,15.5,1.7
2003-02-03,9.2,3.1,6.2,0.3,4.8,4.2,20.7,0.68
2003-02-04,5.0,3.2,1.8,-0.1,5.5,4.4,11.3,0.45
2003-02-05,11.7,3.3,8.3,-0.3,0.0,0.0,14.8,2.09
2003-02-06,15.6,10.6,11.5,6.1,0.0,0.0,24.4,3.24
2003-02-07,14.0,7.7,11.2,4.0,0.0,0.0,14.7,1.9
2003-02-08,13.0,3.1,11.0,-0.6,8.2,6.5,23.9,1.54
2003-02-09,3.5,0.0,-0.1,-2.9,21.2,6.4,13.0,0.6
2003-02-10,2.4,-3.4,-0.8,-7.4,3.7,1.9,9.1,0.9
2003-02-11,3.4,-5.9,0.6,-10.5,0.0,0.0,11.3,1.23
2003-02-12,4.2,-6.4,0.7,-10.8,0.0,0.0,10.0,1.21
2003-02-13,3.4,-1.4,0.5,-4.6,1.1,0.0,9.2,0.76
2003-02-14,2.8,0.4,-0.9,-4.2,4.1,1.0,16.7,0.61
2003-02-15,1.2,-2.6,-2.7,-5.7,0.8,0.3,15.9,0.84
2003-02-16,1.7,-5.7,-1.3,-9.2,2.2,1.8,6.6,1.05
2003-02-17,2.2,-3.9,-0.9,-7.7,2.3,1.2,8.7,1.05
2003-02-18,2.6,-1.0,-1.3,-5.1,6.7,1.4,14.6,0.55
2003-02-19,0.4,-1.3,-3.1,-4.3,4.7,0.6,11.5,0.72
2003-02-20,0.6,-2.6,-3.0,-6.3,4.7,1.7,10.1,0.89
2003-02-21,2.2,-6.9,-0.4,-10.8,1.1,0.9,9.7,1.32
2003-02-22,2.0,-8.2,-1.1,-12.3,1.5,0.7,12.4,1.19
2003-02-23,1.6,-5.3,-1.8,-9.4,10.2,1.1,10.5,0.86
2003-02-24,1.8,0.0,-1.2,-2.9,12.3,2.5,7.6,0.66
2003-02-25,3.4,0.7,-1.3,-4.6,3.3,1.5,20.4,0.87
2003-02-26,2.6,0.2,-2.3,-5.2,0.1,0.1,21.7,1.36
2003-02-27,1.9,-0.8,-2.3,-5.4,3.5,2.2,16.0,0.99
2003-02-28,3.4,-4.1,1.2,-8.7,0.1,0.0,11.9,1.38
2003-03-01,6.3,-4.5,4.2,-9.2,0.0,0.0,11.7,1.77
2003-03-02,8.1,-4.8,5.6,-9.2,0.0,0.0,9.8,1.63
2003-03-03,7.5,3.2,5.7,0.4,0.0,0.0,4.7,1.01
2003-03-04,8.1,-0.1,6.8,-3.4,0.0,0.0,7.2,1.78
2003-03-05,10.2,0.3,9.3,-3.1,0.0,0.0,7.8,2.04
2003-03-06,8.9,4.1,6.7,1.9,0.9,0.9,12.3,1.1
2003-03-07,5.7,2.0,2.7,-0.3,3.0,3.0,14.8,0.62
2003-03-08,9.1,0.4,6.6,-2.5,0.0,0.0,12.9,1.45
2003-03-09,6.0,3.1,3.1,0.6,6.7,4.4,11.4,0.79
2003-03-10,4.4,2.3,1.5,-0.7,4.7,1.7,8.1,0.98
2003-03-11,4.6,2.2,1.8,-1.0,1.0,0.1,8.4,1.14
