Date,Value,iValue,rolling_14d,AdjustedValue,iAdjusted,rolling_14d_adjusted,USD_TL
1999-01-01,,0.594897,0.594897,,1.887243829706237,1.887243829706237,0.31522
1999-01-02,,0.594897,0.594897,,1.887243829706237,1.887243829706237,0.31522
1999-01-03,,0.594897,0.594897,,1.887243829706237,1.887243829706237,0.31522
1999-01-04,0.594897,0.594897,0.594897,1.887243829706237,1.887243829706237,1.887243829706237,0.31522
1999-01-05,0.576073,0.576073,0.5911322,1.825447827643791,1.825447827643791,1.8731670992049534,0.315579
1999-01-06,0.595,0.595,0.5917768333333333,1.8837936755189137,1.8837936755189137,1.8735890015999053,0.315852
1999-01-07,0.577804,0.577804,0.5897807142857143,1.8229555779909135,1.8229555779909135,1.860741779043773,0.31696
1999-01-08,0.63,0.63,0.594808125,1.9776804633422802,1.9776804633422802,1.86720699722183,0.318555
1999-01-09,,0.6066666666666667,0.5961257407407408,,1.903644223538038,1.8705681146100743,0.318687
1999-01-10,,0.5833333333333334,0.5948465,,1.8296692898896663,1.8657812112828913,0.3188189999999999
1999-01-11,0.56,0.56,0.5916786363636364,1.7557555862812786,1.7557555862812786,1.8550769126406137,0.318951
1999-01-12,0.586324,0.586324,0.5912324166666667,1.8239804885939779,1.8239804885939779,1.8392499577439523,0.321453
1999-01-13,0.584073,0.584073,0.5906816923076923,1.8102875951909396,1.8102875951909396,1.8307707089542007,0.322641
1999-01-14,0.613452,0.613452,0.5923081428571428,1.9145665125946825,1.9145665125946825,1.848577126574586,0.320413
1999-01-15,0.583297,0.583297,0.5914795714285714,1.811751441208627,1.811751441208627,1.8371669423658539,0.321952
1999-01-16,,0.5806479999999999,0.5904617857142858,,1.8033853384820844,1.8338651425495194,0.3219766666666667
1999-01-17,,0.577999,0.5892547857142858,,1.7950205175133853,1.829976229024784,0.3220013333333333
1999-01-18,0.57535,0.57535,0.5878585714285715,1.786656978007987,1.786656978007987,1.8255003367075064,0.322026
1999-01-19,,0.5951995,0.58922475,,1.8482964108488136,1.829742784744089,0.322026
1999-01-20,,0.615049,0.5906568214285715,,1.9099358436896399,1.8341898524608928,0.322026
1999-01-21,,0.6348985,0.594735,,1.9715752765304666,1.846853980734475,0.322026
1999-01-22,0.654748,0.654748,0.5965027142857142,2.0332147093712933,2.0332147093712933,1.852343333413185,0.322026
1999-01-23,,0.6229353333333333,0.5976647619047618,,1.9253060307792478,1.8472022839387523,0.3235513333333333
1999-01-24,,0.5911226666666667,0.5982211428571429,,1.8184100160987664,1.840246330169733,0.3250766666666667
1999-01-25,0.55931,0.55931,0.5981718571428571,1.7125124769597246,1.7125124769597246,1.831500900615603,0.326602
1999-01-26,0.599102,0.599102,0.5990845714285714,1.8283197885735736,1.8283197885735736,1.828266600632239,0.327679
1999-01-27,,0.60177,0.6003486428571428,,1.833641596304501,1.829310606756422,0.328183
1999-01-28,,0.604438,0.5997047857142856,,1.835178314438217,1.8208074571877924,0.329362
1999-01-29,0.607106,0.607106,0.6014054285714285,1.831473520672127,1.831473520672127,1.814276448621894,0.331485
1999-01-30,,0.6026750000000001,0.6029787857142858,,1.816800144698896,1.8177159250609016,0.3317233333333333
1999-01-31,,0.598244,0.6044248571428571,,1.8021478383548304,1.8207670277477537,0.3319616666666666
1999-02-01,,0.5938129999999999,0.6057436428571429,,1.7875165562913906,1.8234305925862218,0.3322
1999-02-02,0.589382,0.589382,0.6053281071428571,1.7633233107451118,1.7633233107451118,1.8110311512299573,0.334245
1999-02-03,,0.603064,0.6044720357142858,,1.7995518010020322,1.8037534001781033,0.335119
1999-02-04,0.616746,0.616746,0.6031754285714286,1.8385740859984259,1.8385740859984259,1.7981190186599072,0.335448
1999-02-05,,0.62295575,0.6009045535714286,,1.8480837007019064,1.782665801114947,0.337082
1999-02-06,,0.6291655,0.6013495654761905,,1.86642641223231,1.7839101349155104,0.3370963333333333
1999-02-07,,0.63537525,0.6045104642857143,,1.884767563965147,1.7932107288775034,0.3371106666666666
